SEGMENT#, BRANCH#, XC, YC, UTMZONE
 77,  1,   549243.04394,  4508113.56103, 10
 76,  1,   549442.31959,  4508821.31933, 10
 75,  1,   549275.31903,  4509490.15491, 10
 74,  1,   549381.89552,  4510163.80395, 10
 73,  1,   550137.91859,  4510667.19377, 10
 72,  1,   550992.45250,  4510973.25520, 10
 71,  1,   551396.92574,  4511242.05525, 10
 70,  1,   551725.13560,  4511548.30296, 10
 69,  1,   552121.12514,  4511889.38448, 10
 68,  1,   553032.21655,  4511972.17673, 10
 67,  1,   553999.54720,  4511852.38952, 10
 66,  1,   554571.35642,  4511792.73920, 10
 65,  1,   555144.11972,  4511748.65792, 10
 64,  1,   555768.47128,  4511869.15419, 10
 63,  1,   556277.32682,  4512129.25133, 10
 62,  1,   556636.48606,  4512399.91104, 10
 61,  1,   557106.75580,  4512593.70102, 10
 60,  1,   557619.51788,  4512704.10690, 10
 59,  1,   557997.52305,  4512953.87278, 10
 58,  1,   558555.98322,  4513103.40120, 10
 57,  1,   559253.36301,  4513045.74338, 10
 56,  1,   559752.19436,  4513012.67079, 10
 55,  1,   560246.89386,  4512943.25502, 10
 54,  1,   560832.09967,  4512813.49505, 10
 53,  1,   561421.66014,  4512725.17335, 10
 52,  1,   562015.94997,  4512657.30776, 10
 51,  1,   562609.28573,  4512573.87312, 10
 50,  1,   563306.64000,  4512582.42015, 10
 49,  1,   564164.89022,  4513002.61351, 10
 48,  1,   565180.90455,  4513163.23933, 10
 47,  1,   565913.97398,  4512761.60448, 10
 46,  1,   566180.39422,  4512351.47367, 10
 45,  1,   566372.22214,  4511917.64483, 10
 44,  1,   566622.05550,  4511547.39598, 10
 43,  1,   567056.51782,  4511289.73318, 10
 42,  1,   567496.56520,  4511073.31037, 10
 41,  1,   567772.60854,  4510858.66380, 10
 40,  1,   568036.39906,  4510721.26335, 10
 39,  1,   568322.23488,  4510708.76333, 10
 38,  1,   568608.48891,  4510889.06339, 10
 37,  1,   568883.94945,  4511142.98390, 10
 36,  1,   569236.36924,  4511201.02544, 10
 35,  1,   569597.34995,  4511100.26524, 10
 34,  1,   569909.02508,  4511008.54473, 10
 33,  1,   570265.08192,  4510950.03071, 10
 32,  1,   570699.70176,  4510902.18972, 10
 31,  1,   571240.84910,  4511058.07711, 10
