SEGMENT#, BRANCH#, XC, YC, UTMZONE
102,  1,   546866.74955,  4495896.96172, 10
101,  1,   546879.12325,  4496031.70921, 10
100,  1,   546896.08734,  4496181.69998, 10
 99,  1,   546887.56863,  4496383.96932, 10
 98,  1,   546832.76504,  4496623.43108, 10
 97,  1,   546762.64825,  4496784.62445, 10
 96,  1,   546689.13741,  4496899.62604, 10
 95,  1,   546578.93046,  4497008.73246, 10
 94,  1,   546443.21362,  4497097.00950, 10
 93,  1,   546312.53749,  4497221.85391, 10
 92,  1,   546237.39761,  4497359.47050, 10
 91,  1,   546221.62753,  4497475.54337, 10
 90,  1,   546241.75715,  4497578.14957, 10
 89,  1,   546312.01923,  4497681.64181, 10
 88,  1,   546416.40786,  4497770.96359, 10
 87,  1,   546474.74896,  4497873.96476, 10
 86,  1,   546464.58806,  4498043.81159, 10
 85,  1,   546459.08733,  4498276.53980, 10
 84,  1,   546521.81522,  4498477.21350, 10
 83,  1,   546662.21054,  4498597.23728, 10
 82,  1,   546777.45457,  4498693.15566, 10
 81,  1,   546852.70735,  4498778.87305, 10
 80,  1,   546932.58483,  4498886.49519, 10
 79,  1,   546992.07735,  4499019.21981, 10
 78,  1,   547031.32335,  4499188.07585, 10
 77,  1,   547083.16264,  4499388.00927, 10
 76,  1,   547151.21129,  4499530.71573, 10
 75,  1,   547213.63200,  4499642.82068, 10
 74,  1,   547313.91982,  4499867.99750, 10
 73,  1,   547427.20983,  4500110.23153, 10
 72,  1,   547480.00734,  4500236.83304, 10
 71,  1,   547451.56297,  4500378.21768, 10
 70,  1,   547404.27336,  4500543.01846, 10
 69,  1,   547375.25232,  4500710.46547, 10
 68,  1,   547328.65262,  4500847.99912, 10
 67,  1,   547270.19750,  4500894.97623, 10
 66,  1,   547176.43559,  4500917.44967, 10
 65,  1,   546950.02320,  4500913.99351, 10
 64,  1,   546675.22844,  4500878.08215, 10
 63,  1,   546499.04017,  4500843.76096, 10
 62,  1,   546346.35329,  4500844.67576, 10
 61,  1,   546187.82364,  4500878.96190, 10
 60,  1,   546006.91776,  4500960.17463, 10
 59,  1,   545798.91560,  4501100.74376, 10
 58,  1,   545682.88213,  4501279.14762, 10
 57,  1,   545687.68698,  4501491.50288, 10
 56,  1,   545715.05382,  4501754.77977, 10
 55,  1,   545695.38337,  4502004.13267, 10
 54,  1,   545657.19359,  4502193.09080, 10
 53,  1,   545638.97641,  4502376.47581, 10
 52,  1,   545655.70344,  4502541.60735, 10
 51,  1,   545713.98106,  4502659.26243, 10
 50,  1,   545789.50545,  4502746.43819, 10
 49,  1,   545850.85304,  4502839.65767, 10
 48,  1,   545929.16757,  4502954.65099, 10
 47,  1,   546062.42986,  4503081.60132, 10
 46,  1,   546223.93432,  4503230.67612, 10
 45,  1,   546392.02514,  4503426.24581, 10
 44,  1,   546508.52870,  4503654.70200, 10
 43,  1,   546536.26454,  4503826.55879, 10
 42,  1,   546537.76944,  4503916.94776, 10
 41,  1,   546523.70411,  4503992.50835, 10
 40,  1,   546481.28264,  4504073.91460, 10
 39,  1,   546445.52938,  4504193.16270, 10
 38,  1,   546440.35962,  4504324.79697, 10
 37,  1,   546478.58086,  4504445.31189, 10
 36,  1,   546564.50385,  4504613.46118, 10
 35,  1,   546640.67099,  4504789.29754, 10
 34,  1,   546644.04941,  4504900.84606, 10
 33,  1,   546587.15475,  4504984.45304, 10
 32,  1,   546502.58369,  4505072.14997, 10
 31,  1,   546443.71488,  4505172.12139, 10
 30,  1,   546419.63500,  4505268.76672, 10
 29,  1,   546417.87270,  4505330.38933, 10
 28,  1,   546440.97472,  4505411.54136, 10
 27,  1,   546487.24286,  4505529.60667, 10
 26,  1,   546542.02122,  4505613.29633, 10
 25,  1,   546599.58990,  4505663.64371, 10
 24,  1,   546672.46590,  4505730.15730, 10
 23,  1,   546744.13929,  4505823.42058, 10
 22,  1,   546805.47188,  4505901.64721, 10
 21,  1,   546883.78365,  4505967.31384, 10
 20,  1,   546956.85566,  4506027.21677, 10
 19,  1,   547020.35135,  4506082.85754, 10
 18,  1,   547082.46675,  4506137.74567, 10
 17,  1,   547153.30169,  4506194.79101, 10
 16,  1,   547230.28814,  4506287.53884, 10
 15,  1,   547259.71057,  4506399.93990, 10
 14,  1,   547277.16083,  4506520.26437, 10
 13,  1,   547307.98335,  4506635.20336, 10
 12,  1,   547397.82112,  4506735.99414, 10
 11,  1,   547641.18559,  4506812.83015, 10
 10,  1,   547839.50967,  4506847.29095, 10
  9,  1,   547955.22561,  4506901.36736, 10
  8,  1,   548141.25460,  4507038.23937, 10
  7,  1,   548256.00162,  4507162.29412, 10
  6,  1,   548318.18707,  4507228.26572, 10
  5,  1,   548441.11492,  4507292.68844, 10
  4,  1,   548610.04697,  4507352.82371, 10
  3,  1,   548772.43224,  4507393.79827, 10
  2,  1,   548939.69952,  4507467.95183, 10
116,  2,   546338.13227,  4497654.63828, 10
115,  2,   546249.46425,  4497702.38244, 10
114,  2,   546149.97085,  4497729.45445, 10
113,  2,   546052.67881,  4497732.27825, 10
112,  2,   545949.31747,  4497713.76014, 10
111,  2,   545875.02320,  4497699.58146, 10
110,  2,   545816.35714,  4497707.74793, 10
109,  2,   545727.49707,  4497711.06661, 10
108,  2,   545649.12130,  4497708.87938, 10
107,  2,   545598.95393,  4497694.59328, 10
106,  2,   545552.93168,  4497646.51458, 10
105,  2,   545464.04343,  4497576.82867, 10
